CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
700381962,12/12/2019,0:00:00,12/12/2019,2:19:00,12/12/2019,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,48,INSIDE,STREET,,,"1,011,779","246,746",40.84390126,-73.90050463
642234217,4/1/1974,0:00:00,8/1/1974,0:00:00,12/5/2019,104,RAPE,155,RAPE 2,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,RESIDENCE - APT. HOUSE,,,"991,168","224,929",40.78405987,-73.97502051
242465164,7/1/2019,0:00:00,,,11/26/2019,104,RAPE,153,RAPE 3,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE - APT. HOUSE,,,"1,020,316","239,179",40.8231013,-73.86969046
927207428,11/5/2019,0:00:00,,,11/19/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60,INSIDE,RESIDENCE - APT. HOUSE,,,"992,632","150,589",40.5800123,-73.96982646
492142357,6/27/2019,0:00:00,,,10/1/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,41,INSIDE,RESIDENCE-HOUSE,,,"1,013,232","236,725",40.81639185,-73.89529641
572616350,9/1/2019,0:00:00,,,9/11/2019,109,GRAND LARCENY,443,"LARCENY,GRAND OF BICYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,9,,STREET,,,"986,812","206,998",40.7348462,-73.99075688
593660503,8/29/2019,0:00:00,8/29/2019,14:25:00,8/29/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,50,,OTHER,,,"1,007,514","261,667",40.88486714,-73.91586762
671754904,8/25/2019,0:00:00,,,8/25/2019,359,OFFENSES AGAINST PUBLIC ADMINI,759,"PUBLIC ADMINISTATION,UNCLASS M",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,73,,STREET,,,"1,010,229","182,554",40.66771539,-73.90635474
922264723,8/11/2019,0:00:00,,,8/12/2019,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,60,FRONT OF,STREET,,,"995,334","149,822",40.57790407,-73.96010059
467512872,7/25/2019,0:00:00,7/25/2019,10:00:00,7/25/2019,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,,STREET,,,"1,020,393","239,578",40.82419613,-73.8694101
889259677,6/13/2019,0:00:00,,,6/13/2019,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,,HIGHWAY/PARKWAY,,,"1,019,321","241,655",40.82990121,-73.87327257
602484492,5/31/2019,0:00:00,,,5/31/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,25,,STREET,,,"1,001,439","232,092",40.80370637,-73.93791355
331617213,5/24/2019,0:00:00,5/25/2019,10:00:00,5/25/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,50,,STREET,,,"1,006,438","259,459",40.87880964,-73.91976627
977712246,5/11/2019,0:00:00,,,5/11/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,OTHER,MANHATTAN,5,INSIDE,OTHER,,,"985,184","198,231",40.71078322,-73.99663247
